Material,Material_Condition,pH,Time_days,Cumulative_Release_mg_m2,Cement_Type,Form_Type,Stat_Measure,Material_encoded,Cement_Type_encoded,Form_Type_encoded,Stat_Measure_encoded,log_Time,log_pH,sqrt_Time,sqrt_pH,pH_squared,pH_cubed,Time_squared,Time_pH_interaction,log_Time_pH,Material_pH_interaction,Material_Time_interaction,pH_normalized,Time_normalized,Alkalinity_index,Reactivity_score,Leaching_potential,Material_group,log_Release,Cement_Content,Additives_Count
Al,"Cement mortar CEM I  H3 BE(M,1,1)",11.91,1.0,27.061003233333334,CEM_I,Mortar,Unknown,0,0,1,5,0.6931471805599453,2.477378383367209,1.0,3.4510867853474796,141.84810000000002,1689.410871,1.0,11.91,8.255382920468948,0.0,0.0,2.2474315254784023,-1.8533606672200356,4.91,8.255382920468948,141.84810000000002,0,3.3343808271832027,80,1
Al,"Cement mortar CEM I  H3 BE(M,1,1)",11.86,2.25,44.36655686666667,CEM_I,Mortar,Unknown,0,0,1,5,1.1786549963416462,2.4731713935695794,1.5,3.443835071544513,140.65959999999998,1668.2228559999999,5.0625,26.685,13.978848256611922,0.0,0.0,2.2313074729750584,-1.6427943359539383,4.859999999999999,13.978848256611922,210.9894,0,3.8147752007071754,80,1
Al,"Cement mortar CEM I  H3 BE(M,1,1)",11.64,4.0,63.58881663333334,CEM_I,Mortar,Unknown,0,0,1,5,1.6094379124341003,2.454447442303292,2.0,3.411744421846396,135.48960000000002,1577.0989440000003,16.0,46.56,18.73385730073293,0.0,0.0,2.1603616419603457,-1.348001472181402,4.640000000000001,18.73385730073293,270.97920000000005,0,4.1680412786709935,80,1
Al,"Cement mortar CEM I  H3 BE(M,1,1)",11.86,9.083333333333334,88.0377641,CEM_I,Mortar,Unknown,0,0,1,5,2.310883895808741,2.4731713935695794,3.013856886670854,3.443835071544513,140.65959999999998,1668.2228559999999,82.50694444444446,107.72833333333334,27.407083004291668,0.0,0.0,2.2313074729750584,-0.4916983916992726,4.859999999999999,27.407083004291668,423.9279041363676,0,4.4890605954660145,80,1
Al,"Cement mortar CEM I  H3 BE(M,1,1)",11.86,16.0,116.2881018,CEM_I,Mortar,Unknown,0,0,1,5,2.833213344056216,2.4731713935695794,4.0,3.443835071544513,140.65959999999998,1668.2228559999999,256.0,189.76,33.60191026050672,0.0,0.0,2.2313074729750584,0.6734353079731327,4.859999999999999,33.60191026050672,562.6383999999999,0,4.764633316584567,80,1
Al,"Cement mortar CEM I  H3 BE(M,1,1)",11.71,36.0,152.69294083333335,CEM_I,Mortar,Unknown,0,0,1,5,3.6109179126442243,2.460443177609626,6.0,3.4219877264537346,137.12410000000003,1605.7232110000004,1296.0,421.56000000000006,42.28384875706387,0.0,0.0,2.182935315465027,4.042496608230691,4.710000000000001,42.28384875706387,822.7446000000002,0,5.03495672127468,80,1
Al,"Cement mortar CEM I  H3 BE(M,1,1)",11.64,64.0,185.19294083333335,CEM_I,Mortar,Unknown,0,0,1,5,4.174387269895637,2.454447442303292,8.0,3.411744421846396,135.48960000000002,1577.0989440000003,4096.0,744.96,48.589867821585216,0.0,0.0,2.1603616419603457,8.759182428591272,4.640000000000001,48.589867821585216,1083.9168000000002,0,5.226783452380654,80,1
Al,"Cement mortar CEM I  H6 BE(M,1,1)",12.05,0.25,15.45357276666667,CEM_I,Mortar,Unknown,0,0,1,5,0.22314355131420976,2.489064659936664,0.5,3.4713109915419564,145.20250000000001,1749.6901250000003,0.0625,3.0125,2.688879793336228,0.0,0.0,2.2925788724877654,-1.979700465979694,5.050000000000001,2.688879793336228,72.60125000000001,0,2.800542643092183,80,1
Al,"Cement mortar CEM I  H6 BE(M,1,1)",11.91,1.0,55.73790776666667,CEM_I,Mortar,Unknown,0,0,1,5,0.6931471805599453,2.477378383367209,1.0,3.4510867853474796,141.84810000000002,1689.410871,1.0,11.91,8.255382920468948,0.0,0.0,2.2474315254784023,-1.8533606672200356,4.91,8.255382920468948,141.84810000000002,0,4.038442554655488,80,1
Al,"Cement mortar CEM I  H6 BE(M,1,1)",11.81,2.25,85.88634340000002,CEM_I,Mortar,Unknown,0,0,1,5,1.1786549963416462,2.468946630209271,1.5,3.4365680554879168,139.4761,1647.2127410000003,5.0625,26.5725,13.919915506794842,0.0,0.0,2.215183420471715,-1.6427943359539383,4.8100000000000005,13.919915506794842,209.21415000000002,0,4.46460086687203,80,1
Al,"Cement mortar CEM I  H6 BE(M,1,1)",11.68,4.0,117.25633616666669,CEM_I,Mortar,Unknown,0,0,1,5,1.6094379124341003,2.457877977400081,2.0,3.4176014981270124,136.42239999999998,1593.4136319999998,16.0,46.72,18.79823481723029,0.0,0.0,2.1732608839630205,-1.348001472181402,4.68,18.79823481723029,272.84479999999996,0,4.772854608741327,80,1
Al,"Cement mortar CEM I  H6 BE(M,1,1)",11.84,9.083333333333334,159.19532373333337,CEM_I,Mortar,Unknown,0,0,1,5,2.310883895808741,2.4714836294558595,3.013856886670854,3.4409301068170506,140.1856,1659.797504,82.50694444444446,107.54666666666667,27.360865326375492,0.0,0.0,2.224857851973721,-0.4916983916992726,4.84,27.360865326375492,422.4993359720857,0,5.076393844029274,80,1
Al,"Cement mortar CEM I  H6 BE(M,1,1)",11.87,16.0,202.77329540000005,CEM_I,Mortar,Unknown,0,0,1,5,2.833213344056216,2.4740142086215764,4.0,3.4452866353904428,140.8969,1672.4462029999997,256.0,189.92,33.630242393947285,0.0,0.0,2.234532283475727,0.6734353079731327,4.869999999999999,33.630242393947285,563.5876,0,5.317008078836958,80,1
